tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff
1994--usa,Group D,1994-06-21,Nigeria,Bulgaria,3,0,"Cotton Bowl, Dallas",Nigeria,1500.0,1363.94,1517.86,1346.08,136.06
1994--usa,Group D,1994-06-25,Argentina,Nigeria,2,1,"Foxboro Stadium, Foxborough",Argentina,1702.52,1517.86,1710.75,1509.63,184.66
1994--usa,Group D,1994-06-26,Greece,Bulgaria,0,4,"Soldier Field, Chicago",Bulgaria,1484.75,1346.08,1428.68,1402.15,138.67
1994--usa,Group D,1994-06-30,Greece,Nigeria,0,2,"Foxboro Stadium, Foxborough",Nigeria,1428.68,1509.63,1401.35,1536.96,-80.95
1994--usa,Group D,1994-06-30,Argentina,Bulgaria,0,2,"Cotton Bowl, Dallas",Bulgaria,1710.75,1402.15,1657.51,1455.39,308.6
1994--usa,Group E,1994-06-18,Italy,Ireland,0,1,"Giants Stadium, East Rutherford",Ireland,1743.65,1497.14,1709.79,1531.0,246.51
1994--usa,Group E,1994-06-19,Norway,Mexico,1,0,"RFK Stadium, Washington",Norway,1488.18,1470.42,1504.33,1454.27,17.76
1994--usa,Group E,1994-06-23,Italy,Norway,1,0,"Giants Stadium, East Rutherford",Italy,1709.79,1504.33,1717.26,1496.86,205.46
1994--usa,Group E,1994-06-24,Mexico,Ireland,2,1,"Citrus Bowl, Orlando",Mexico,1454.27,1531.0,1475.81,1509.46,-76.73
1994--usa,Group E,1994-06-28,Ireland,Norway,0,0,"Giants Stadium, East Rutherford",Draw,1509.46,1496.86,1505.89,1500.43,12.6
1994--usa,Group E,1994-06-28,Italy,Mexico,1,1,"RFK Stadium, Washington",Draw,1717.26,1475.81,1703.56,1489.51,241.45
1994--usa,Group F,1994-06-19,Belgium,Morocco,1,0,"Citrus Bowl, Orlando",Belgium,1484.52,1492.68,1502.12,1475.08,-8.16
1994--usa,Group F,1994-06-20,Netherlands,Saudi Arabia,2,1,"RFK Stadium, Washington",Netherlands,1576.9,1500.0,1589.9,1487.0,76.9
1994--usa,Group F,1994-06-25,Belgium,Netherlands,1,0,"Citrus Bowl, Orlando",Belgium,1502.12,1589.9,1524.29,1567.73,-87.78
1994--usa,Group F,1994-06-25,Saudi Arabia,Morocco,2,1,"Giants Stadium, East Rutherford",Saudi Arabia,1487.0,1475.08,1503.47,1458.61,11.92
1994--usa,Group F,1994-06-29,Morocco,Netherlands,1,2,"Citrus Bowl, Orlando",Netherlands,1458.61,1567.73,1441.98,1584.36,-109.12
1994--usa,Group F,1994-06-29,Belgium,Saudi Arabia,0,1,"RFK Stadium, Washington",Saudi Arabia,1524.29,1503.47,1500.27,1527.49,20.82
1994--usa,Round of 16,1994-07-02,Germany,Belgium,3,2,"Soldier Field, Chicago",Germany,1523.54,1500.27,1547.31,1476.5,23.27
1994--usa,Round of 16,1994-07-02,Spain,Switzerland,3,0,"RFK Stadium, Washington",Spain,1605.33,1409.0,1625.8,1388.53,196.33
1994--usa,Round of 16,1994-07-03,Saudi Arabia,Sweden,1,3,"Cotton Bowl, Dallas",Sweden,1527.49,1531.72,1476.6,1582.61,-4.23
1994--usa,Round of 16,1994-07-03,Romania,Argentina,3,2,"Rose Bowl, Pasadena",Romania,1511.1,1657.51,1549.22,1619.39,-146.41
1994--usa,Round of 16,1994-07-04,Netherlands,Ireland,2,0,"Citrus Bowl, Orlando",Netherlands,1584.36,1505.89,1613.44,1476.81,78.47
1994--usa,Round of 16,1994-07-04,Brazil,USA,1,0,"Stanford Stadium, Stanford",Brazil,1805.34,1481.52,1811.59,1475.27,323.82
1994--usa,Round of 16,1994-07-05,Nigeria,Italy,1,2,"Foxboro Stadium, Foxborough",Italy,1536.96,1703.56,1516.67,1723.85,-166.6
1994--usa,Round of 16,1994-07-05,Mexico,Bulgaria,1,3,"Giants Stadium, East Rutherford",Bulgaria,1489.51,1455.39,1433.82,1511.08,34.12
1994--usa,Quarter-finals,1994-07-09,Italy,Spain,2,1,"Foxboro Stadium, Foxborough",Italy,1723.85,1625.8,1741.79,1607.86,98.05
1994--usa,Quarter-finals,1994-07-09,Netherlands,Brazil,2,3,"Cotton Bowl, Dallas",Brazil,1613.44,1811.59,1595.51,1829.52,-198.15
1994--usa,Quarter-finals,1994-07-10,Bulgaria,Germany,2,1,"Giants Stadium, East Rutherford",Bulgaria,1511.08,1547.31,1539.89,1518.5,-36.23
1994--usa,Quarter-finals,1994-07-10,Romania,Sweden,4,5,"Stanford Stadium, Stanford",Sweden,1549.22,1582.61,1517.79,1614.04,-33.39
1994--usa,Semi-finals,1994-07-13,Bulgaria,Italy,1,2,"Giants Stadium, East Rutherford",Italy,1539.89,1741.79,1522.23,1759.45,-201.9
1994--usa,Semi-finals,1994-07-13,Sweden,Brazil,0,1,"Rose Bowl, Pasadena",Brazil,1614.04,1829.52,1597.34,1846.22,-215.48
1994--usa,Third-place match,1994-07-16,Sweden,Bulgaria,4,0,"Rose Bowl, Pasadena",Sweden,1597.34,1522.23,1634.17,1485.4,75.11
1994--usa,Final,1994-07-17,Brazil,Italy,3,2,"Rose Bowl, Pasadena",Brazil,1846.22,1759.45,1864.98,1740.69,86.77
1998--france,Group A,1998-06-10,Brazil,Scotland,2,1,"Stade de France, Saint-Denis",Brazil,1864.98,1484.64,1868.08,1481.54,380.34
1998--france,Group A,1998-06-10,Morocco,Norway,2,2,"Stade de la Mosson, Montpellier",Draw,1441.98,1500.43,1442.47,1499.94,-58.45
1998--france,Group A,1998-06-16,Scotland,Norway,1,1,"Parc Lescure, Bordeaux",Draw,1481.54,1499.94,1479.73,1501.75,-18.4
1998--france,Group A,1998-06-16,Brazil,Morocco,3,0,"Stade de la Beaujoire, Nantes",Brazil,1868.08,1442.47,1872.33,1438.22,425.61
1998--france,Group A,1998-06-23,Scotland,Morocco,0,3,"Stade Geoffroy-Guichard, Saint-Étienne",Morocco,1479.73,1438.22,1435.72,1482.23,41.51
1998--france,Group A,1998-06-23,Brazil,Norway,1,2,"Stade Vélodrome, Marseille",Norway,1872.33,1501.75,1835.59,1538.49,370.58
1998--france,Group B,1998-06-11,Cameroon,Austria,1,1,"Stade de Toulouse, Toulouse",Draw,1472.17,1519.72,1472.03,1519.86,-47.55
1998--france,Group B,1998-06-11,Italy,Chile,2,2,"Parc Lescure, Bordeaux",Draw,1740.69,1457.75,1725.82,1472.62,282.94
1998--france,Group B,1998-06-17,Chile,Austria,1,1,"Stade Geoffroy-Guichard, Saint-Étienne",Draw,1472.62,1519.86,1472.46,1520.02,-47.24
1998--france,Group B,1998-06-17,Italy,Cameroon,3,0,"Stade de la Mosson, Montpellier",Italy,1725.82,1472.03,1736.19,1461.66,253.79
1998--france,Group B,1998-06-23,Italy,Austria,2,1,"Stade de France, Saint-Denis",Italy,1736.19,1520.02,1743.3,1512.91,216.17
1998--france,Group B,1998-06-23,Chile,Cameroon,1,1,"Stade de la Beaujoire, Nantes",Draw,1472.46,1461.66,1469.0,1465.12,10.8
1998--france,Group C,1998-06-12,Saudi Arabia,Denmark,0,1,"Stade Félix Bollaert, Lens",Denmark,1476.6,1518.18,1456.12,1538.66,-41.58
1998--france,Group C,1998-06-12,France,South Africa,3,0,"Stade Vélodrome, Marseille",France,1609.53,1500.0,1629.5,1480.03,109.53
1998--france,Group C,1998-06-18,France,Saudi Arabia,4,0,"Stade de France, Saint-Denis",France,1629.5,1456.12,1645.74,1439.88,173.38
1998--france,Group C,1998-06-18,South Africa,Denmark,1,1,"Stade de Toulouse, Toulouse",Draw,1480.03,1538.66,1480.53,1538.16,-58.63
1998--france,Group C,1998-06-24,France,Denmark,2,1,"Stade Gerland, Lyon",France,1645.74,1538.16,1657.24,1526.66,107.58
1998--france,Group C,1998-06-24,South Africa,Saudi Arabia,2,2,"Parc Lescure, Bordeaux",Draw,1480.53,1439.88,1475.43,1444.98,40.65
1998--france,Group D,1998-06-12,Paraguay,Bulgaria,0,0,"Stade de la Mosson, Montpellier",Draw,1454.73,1485.4,1453.62,1486.51,-30.67
1998--france,Group D,1998-06-13,Spain,Nigeria,2,3,"Stade de la Beaujoire, Nantes",Nigeria,1607.86,1516.67,1580.15,1544.38,91.19
1998--france,Group D,1998-06-19,Nigeria,Bulgaria,1,0,"Parc des Princes, Paris",Nigeria,1544.38,1486.51,1558.36,1472.53,57.87
1998--france,Group D,1998-06-19,Spain,Paraguay,0,0,"Stade Geoffroy-Guichard, Saint-Étienne",Draw,1580.15,1453.62,1570.78,1462.99,126.53
1998--france,Group D,1998-06-24,Spain,Bulgaria,6,1,"Stade Félix Bollaert, Lens",Spain,1570.78,1472.53,1594.68,1448.63,98.25
1998--france,Group D,1998-06-24,Nigeria,Paraguay,1,3,"Stade de Toulouse, Toulouse",Paraguay,1558.36,1462.99,1516.49,1504.86,95.37
1998--france,Group E,1998-06-13,Netherlands,Belgium,0,0,"Stade de France, Saint-Denis",Draw,1595.51,1476.5,1586.48,1485.53,119.01
1998--france,Group E,1998-06-13,South Korea,Mexico,1,3,"Stade Gerland, Lyon",Mexico,1354.2,1433.82,1326.75,1461.27,-79.62
1998--france,Group E,1998-06-20,Netherlands,South Korea,5,0,"Stade Vélodrome, Marseille",Netherlands,1586.48,1326.75,1598.0,1315.23,259.73
1998--france,Group E,1998-06-20,Belgium,Mexico,2,2,"Parc Lescure, Bordeaux",Draw,1485.53,1461.27,1481.32,1465.48,24.26
1998--france,Group E,1998-06-25,Belgium,South Korea,1,1,"Parc des Princes, Paris",Draw,1481.32,1315.23,1470.27,1326.28,166.09
1998--france,Group E,1998-06-25,Netherlands,Mexico,2,2,"Stade Geoffroy-Guichard, Saint-Étienne",Draw,1598.0,1465.48,1588.36,1475.12,132.52
1998--france,Group F,1998-06-14,Yugoslavia,Iran,1,0,"Stade Geoffroy-Guichard, Saint-Étienne",Yugoslavia,1574.75,1454.39,1585.66,1443.48,120.36
1998--france,Group F,1998-06-15,Germany,USA,2,0,"Parc des Princes, Paris",Germany,1518.5,1475.27,1540.64,1453.13,43.23
1998--france,Group F,1998-06-21,Germany,Yugoslavia,2,2,"Stade Félix Bollaert, Lens",Draw,1540.64,1585.66,1540.35,1585.95,-45.02
1998--france,Group F,1998-06-21,USA,Iran,1,2,"Stade Gerland, Lyon",Iran,1453.13,1443.48,1429.73,1466.88,9.65
1998--france,Group F,1998-06-25,Germany,Iran,2,0,"Stade de la Mosson, Montpellier",Germany,1540.35,1466.88,1560.12,1447.11,73.47
1998--france,Group F,1998-06-25,USA,Yugoslavia,0,1,"Stade de la Beaujoire, Nantes",Yugoslavia,1429.73,1585.95,1415.66,1600.02,-156.22
1998--france,Group G,1998-06-15,Romania,Colombia,1,0,"Stade Gerland, Lyon",Romania,1517.79,1461.32,1531.85,1447.26,56.47
1998--france,Group G,1998-06-15,England,Tunisia,2,0,"Stade Vélodrome, Marseille",England,1646.51,1521.57,1662.56,1505.52,124.94
1998--france,Group G,1998-06-22,Colombia,Tunisia,1,0,"Stade de la Mosson, Montpellier",Colombia,1447.26,1505.52,1467.74,1485.04,-58.26
1998--france,Group G,1998-06-22,Romania,England,2,1,"Stade de Toulouse, Toulouse",Romania,1531.85,1662.56,1556.41,1638.0,-130.71
1998--france,Group G,1998-06-26,Romania,Tunisia,1,1,"Stade de France, Saint-Denis",Draw,1556.41,1485.04,1549.69,1491.76,71.37
1998--france,Group G,1998-06-26,Colombia,England,0,2,"Stade Félix Bollaert, Lens",England,1467.74,1638.0,1447.73,1658.01,-170.26
1998--france,Group H,1998-06-14,Jamaica,Croatia,1,3,"Stade Félix Bollaert, Lens",Croatia,1500.0,1500.0,1465.71,1534.29,0.0
1998--france,Group H,1998-06-14,Argentina,Japan,1,0,"Stade de Toulouse, Toulouse",Argentina,1619.39,1500.0,1630.34,1489.05,119.39
1998--france,Group H,1998-06-20,Japan,Croatia,0,1,"Stade de la Beaujoire, Nantes",Croatia,1489.05,1534.29,1468.78,1554.56,-45.24
1998--france,Group H,1998-06-21,Argentina,Jamaica,5,0,"Parc des Princes, Paris",Argentina,1630.34,1465.71,1648.36,1447.69,164.63
1998--france,Group H,1998-06-26,Japan,Jamaica,1,2,"Stade Gerland, Lyon",Jamaica,1468.78,1447.69,1444.74,1471.73,21.09
1998--france,Group H,1998-06-26,Argentina,Croatia,1,0,"Parc Lescure, Bordeaux",Argentina,1648.36,1554.56,1660.52,1542.4,93.8
1998--france,Round of 16,1998-06-27,Brazil,Chile,4,1,"Parc des Princes, Paris",Brazil,1835.59,1469.0,1844.34,1460.25,366.59
1998--france,Round of 16,1998-06-27,Italy,Norway,1,0,"Stade Vélodrome, Marseille",Italy,1743.3,1538.49,1754.55,1527.24,204.81
1998--france,Round of 16,1998-06-28,Nigeria,Denmark,1,4,"Stade de France, Saint-Denis",Denmark,1516.49,1526.66,1458.0,1585.15,-10.17
1998--france,Round of 16,1998-06-28,France,Paraguay,1,0,"Stade Félix Bollaert, Lens",France,1657.24,1504.86,1671.51,1490.59,152.38
1998--france,Round of 16,1998-06-29,Germany,Mexico,2,1,"Stade de la Mosson, Montpellier",Germany,1560.12,1475.12,1579.02,1456.22,85.0
1998--france,Round of 16,1998-06-29,Netherlands,Yugoslavia,2,1,"Stade de Toulouse, Toulouse",Netherlands,1588.36,1600.02,1615.06,1573.32,-11.66
1998--france,Round of 16,1998-06-30,Argentina   4-3pen 2-2aet (,England,2,2,"Stade Geoffroy-Guichard, Saint-Étienne",Draw,1500.0,1658.01,1509.04,1648.97,-158.01
1998--france,Round of 16,1998-06-30,Romania,Croatia,0,1,"Parc Lescure, Bordeaux",Croatia,1549.69,1542.4,1514.79,1577.3,7.29
1998--france,Quarter-finals,1998-07-03,Italy    3-4pen,France,0,0,"Stade de France, Saint-Denis",Draw,1513.94,1671.51,1522.94,1662.51,-157.57
1998--france,Quarter-finals,1998-07-03,Brazil,Denmark,3,2,"Stade de la Beaujoire, Nantes",Brazil,1844.34,1585.15,1853.0,1576.49,259.19
1998--france,Quarter-finals,1998-07-04,Germany,Croatia,0,3,"Stade Gerland, Lyon",Croatia,1579.02,1577.3,1518.76,1637.56,1.72
1998--france,Quarter-finals,1998-07-04,Netherlands,Argentina,2,1,"Stade Vélodrome, Marseille",Netherlands,1615.06,1660.52,1644.67,1630.91,-45.46
1998--france,Semi-finals,1998-07-07,Brazil    4-2pen 1-1aet (,Netherlands,1,1,"Stade Vélodrome, Marseille",Draw,1500.0,1644.67,1507.98,1636.69,-144.67
1998--france,Semi-finals,1998-07-08,France,Croatia,2,1,"Stade de France, Saint-Denis",France,1662.51,1637.56,1686.14,1613.93,24.95
1998--france,Third place match,1998-07-11,Netherlands,Croatia,1,2,"Parc des Princes, Paris",Croatia,1636.69,1613.93,1600.5,1650.12,22.76
1998--france,Final,1998-07-12,Brazil,France,0,3,"Stade de France, Saint-Denis",France,1853.0,1686.14,1771.41,1767.73,166.86
2002--south-korea-n-japan,Group A,2002-05-31,France,Senegal,0,1,"Seoul World Cup Stadium, Seoul",Senegal,1767.73,1500.0,1733.26,1534.47,267.73
2002--south-korea-n-japan,Group A,2002-06-01,Uruguay,Denmark,1,2,"Munsu Cup Stadium, Ulsan",Denmark,1425.56,1576.49,1411.21,1590.84,-150.93
2002--south-korea-n-japan,Group A,2002-06-06,France,Uruguay,0,0,"Asiad Main Stadium, Busan",Draw,1733.26,1411.21,1717.46,1427.01,322.05
2002--south-korea-n-japan,Group A,2002-06-06,Denmark,Senegal,1,1,"Daegu World Cup Stadium, Daegu",Draw,1590.84,1534.47,1584.9,1540.41,56.37
2002--south-korea-n-japan,Group A,2002-06-11,Denmark,France,2,0,"Incheon Munhak Stadium, Incheon",Denmark,1584.9,1717.46,1621.9,1680.46,-132.56
2002--south-korea-n-japan,Group A,2002-06-11,Senegal,Uruguay,3,3,"Suwon World Cup Stadium, Suwon",Draw,1540.41,1427.01,1531.64,1435.78,113.4
2002--south-korea-n-japan,Group B,2002-06-02,Paraguay,South Africa,2,2,"Asiad Main Stadium, Busan",Draw,1490.59,1475.43,1486.88,1479.14,15.16
2002--south-korea-n-japan,Group B,2002-06-02,Spain,Slovenia,3,1,"Gwangju World Cup Stadium, Gwangju",Spain,1594.68,1500.0,1612.86,1481.82,94.68
2002--south-korea-n-japan,Group B,2002-06-07,Spain,Paraguay,3,1,"Jeonju World Cup Stadium, Jeonju",Spain,1612.86,1486.88,1628.84,1470.9,125.98
2002--south-korea-n-japan,Group B,2002-06-08,South Africa,Slovenia,1,0,"Daegu World Cup Stadium, Daegu",South Africa,1479.14,1481.82,1496.43,1464.53,-2.68
2002--south-korea-n-japan,Group B,2002-06-12,South Africa,Spain,2,3,"Daejeon World Cup Stadium, Daejeon",Spain,1496.43,1628.84,1481.09,1644.18,-132.41
2002--south-korea-n-japan,Group B,2002-06-12,Slovenia,Paraguay,1,3,"Jeju World Cup Stadium, Jeju",Paraguay,1464.53,1470.9,1430.78,1504.65,-6.37
2002--south-korea-n-japan,Group C,2002-06-03,Brazil,Turkey,2,1,"Munsu Cup Stadium, Ulsan",Brazil,1771.41,1473.68,1776.17,1468.92,297.73
2002--south-korea-n-japan,Group C,2002-06-04,China,Costa Rica,0,2,"Gwangju World Cup Stadium, Gwangju",Costa Rica,1500.0,1489.98,1464.87,1525.11,10.02
2002--south-korea-n-japan,Group C,2002-06-08,Brazil,China,4,0,"Jeju World Cup Stadium, Jeju",Brazil,1776.17,1464.87,1784.5,1456.54,311.3
2002--south-korea-n-japan,Group C,2002-06-09,Costa Rica,Turkey,1,1,"Incheon Munhak Stadium, Incheon",Draw,1525.11,1468.92,1519.18,1474.85,56.19
2002--south-korea-n-japan,Group C,2002-06-13,Costa Rica,Brazil,2,5,"Suwon World Cup Stadium, Suwon",Brazil,1519.18,1784.5,1503.46,1800.22,-265.32
2002--south-korea-n-japan,Group C,2002-06-13,Turkey,China,3,0,"Seoul World Cup Stadium, Seoul",Turkey,1474.85,1456.54,1503.06,1428.33,18.31
2002--south-korea-n-japan,Group D,2002-06-04,South Korea,Poland,2,0,"Asiad Main Stadium, Busan",South Korea,1326.28,1578.13,1371.98,1532.43,-251.85
2002--south-korea-n-japan,Group D,2002-06-05,USA,Portugal,3,2,"Suwon World Cup Stadium, Suwon",USA,1415.66,1575.53,1441.78,1549.41,-159.87
2002--south-korea-n-japan,Group D,2002-06-10,South Korea,USA,1,1,"Daegu World Cup Stadium, Daegu",Draw,1371.98,1441.78,1373.12,1440.64,-69.8
2002--south-korea-n-japan,Group D,2002-06-10,Portugal,Poland,4,0,"Jeonju World Cup Stadium, Jeonju",Portugal,1549.41,1532.43,1579.77,1502.07,16.98
2002--south-korea-n-japan,Group D,2002-06-14,Portugal,South Korea,0,1,"Incheon Munhak Stadium, Incheon",South Korea,1579.77,1373.12,1547.2,1405.69,206.65
2002--south-korea-n-japan,Group D,2002-06-14,Poland,USA,3,1,"Daejeon World Cup Stadium, Daejeon",Poland,1502.07,1440.64,1522.77,1419.94,61.43
2002--south-korea-n-japan,Group E,2002-06-01,Ireland,Cameroon,1,1,"Niigata Stadium, Niigata",Draw,1476.81,1465.12,1473.3,1468.63,11.69
2002--south-korea-n-japan,Group E,2002-06-01,Germany,Saudi Arabia,8,0,"Sapporo Dome, Sapporo",Germany,1518.76,1444.98,1550.02,1413.72,73.78
2002--south-korea-n-japan,Group E,2002-06-05,Germany,Ireland,1,1,"Kashima Soccer Stadium, Ibaraki",Draw,1550.02,1473.3,1543.03,1480.29,76.72
2002--south-korea-n-japan,Group E,2002-06-06,Cameroon,Saudi Arabia,1,0,"Saitama Stadium, Saitama",Cameroon,1468.63,1413.72,1482.77,1399.58,54.91
2002--south-korea-n-japan,Group E,2002-06-11,Cameroon,Germany,0,2,"Shizuoka Stadium, Shizuoka",Germany,1482.77,1543.03,1453.66,1572.14,-60.26
2002--south-korea-n-japan,Group E,2002-06-11,Saudi Arabia,Ireland,0,3,"International Stadium Yokohama, Yokohama",Ireland,1399.58,1480.29,1367.67,1512.2,-80.71
2002--south-korea-n-japan,Group F,2002-06-02,England,Sweden,1,1,"Saitama Stadium, Saitama",Draw,1648.97,1634.17,1645.28,1637.86,14.8
2002--south-korea-n-japan,Group F,2002-06-02,Argentina,Nigeria,1,0,"Kashima Soccer Stadium, Ibaraki",Argentina,1630.91,1458.0,1639.59,1449.32,172.91
2002--south-korea-n-japan,Group F,2002-06-07,Sweden,Nigeria,2,1,"Kobe Wing Stadium, Kobe",Sweden,1637.86,1449.32,1645.94,1441.24,188.54
2002--south-korea-n-japan,Group F,2002-06-07,Argentina,England,0,1,"Sapporo Dome, Sapporo",England,1639.59,1645.28,1617.05,1667.82,-5.69
2002--south-korea-n-japan,Group F,2002-06-12,Sweden,Argentina,1,1,"Miyagi Stadium, Miyagi",Draw,1645.94,1617.05,1641.48,1621.51,28.89
2002--south-korea-n-japan,Group F,2002-06-12,Nigeria,England,0,0,"Nagai Stadium, Osaka",Draw,1441.24,1667.82,1450.61,1658.45,-226.58
2002--south-korea-n-japan,Group G,2002-06-03,Croatia,Mexico,0,1,"Niigata Stadium, Niigata",Mexico,1650.12,1456.22,1618.01,1488.33,193.9
2002--south-korea-n-japan,Group G,2002-06-03,Italy,Ecuador,2,0,"Sapporo Dome, Sapporo",Italy,1754.55,1500.0,1763.41,1491.14,254.55
2002--south-korea-n-japan,Group G,2002-06-08,Italy,Croatia,1,2,"Kashima Soccer Stadium, Ibaraki",Croatia,1763.41,1618.01,1733.21,1648.21,145.4
2002--south-korea-n-japan,Group G,2002-06-09,Mexico,Ecuador,2,1,"Miyagi Stadium, Miyagi",Mexico,1488.33,1491.14,1505.63,1473.84,-2.81
2002--south-korea-n-japan,Group G,2002-06-13,Mexico,Italy,1,1,"Ōita Stadium, Ōita",Draw,1505.63,1733.21,1515.05,1723.79,-227.58
2002--south-korea-n-japan,Group G,2002-06-13,Ecuador,Croatia,1,0,"International Stadium Yokohama, Yokohama",Ecuador,1473.84,1648.21,1500.71,1621.34,-174.37
2002--south-korea-n-japan,Group H,2002-06-04,Japan,Belgium,2,2,"Saitama Stadium, Saitama",Draw,1444.74,1470.27,1443.33,1471.68,-25.53
2002--south-korea-n-japan,Group H,2002-06-05,Russia,Tunisia,2,0,"Kobe Wing Stadium, Kobe",Russia,1506.53,1491.76,1531.0,1467.29,14.77
2002--south-korea-n-japan,Group H,2002-06-09,Japan,Russia,1,0,"International Stadium Yokohama, Yokohama",Japan,1443.33,1531.0,1465.49,1508.84,-87.67
2002--south-korea-n-japan,Group H,2002-06-10,Tunisia,Belgium,1,1,"Ōita Stadium, Ōita",Draw,1467.29,1471.68,1464.68,1474.29,-4.39
2002--south-korea-n-japan,Group H,2002-06-14,Tunisia,Japan,0,2,"Nagai Stadium, Osaka",Japan,1464.68,1465.49,1430.46,1499.71,-0.81
2002--south-korea-n-japan,Group H,2002-06-14,Belgium,Russia,3,2,"Shizuoka Stadium, Shizuoka",Belgium,1474.29,1508.84,1493.4,1489.73,-34.55
2002--south-korea-n-japan,Round of 16,2002-06-15,Germany,Paraguay,1,0,"Jeju World Cup Stadium, Jeju",Germany,1572.14,1504.65,1592.36,1484.43,67.49
2002--south-korea-n-japan,Round of 16,2002-06-15,Denmark,England,0,3,"Niigata Stadium, Niigata",England,1621.9,1658.45,1567.37,1712.98,-36.55
2002--south-korea-n-japan,Round of 16,2002-06-16,Sweden,Senegal,1,2,"Ōita Stadium, Ōita",Senegal,1641.48,1531.64,1598.58,1574.54,109.84
2002--south-korea-n-japan,Round of 16,2002-06-16,Spain,Ireland,3,2,"Suwon World Cup Stadium, Suwon",Spain,1644.18,1512.2,1659.76,1496.62,131.98
2002--south-korea-n-japan,Round of 16,2002-06-17,Mexico,USA,0,2,"Jeonju World Cup Stadium, Jeonju",USA,1515.05,1419.94,1452.28,1482.71,95.11
2002--south-korea-n-japan,Round of 16,2002-06-17,Brazil,Belgium,2,0,"Kobe Wing Stadium, Kobe",Brazil,1800.22,1493.4,1810.45,1483.17,306.82
2002--south-korea-n-japan,Round of 16,2002-06-18,Japan,Turkey,0,1,"Miyagi Stadium, Miyagi",Turkey,1499.71,1503.06,1465.71,1537.06,-3.35
2002--south-korea-n-japan,Round of 16,2002-06-18,South Korea,Italy,2,1,"Daejeon World Cup Stadium, Daejeon",South Korea,1405.69,1723.79,1455.13,1674.35,-318.1
2002--south-korea-n-japan,Quarter-finals,2002-06-21,England,Brazil,1,2,"Shizuoka Stadium, Shizuoka",Brazil,1712.98,1810.45,1687.05,1836.38,-97.47
2002--south-korea-n-japan,Quarter-finals,2002-06-21,Germany,USA,1,0,"Munsu Cup Stadium, Ulsan",Germany,1592.36,1482.71,1609.47,1465.6,109.65
2002--south-korea-n-japan,Quarter-finals,2002-06-22,Spain,South Korea,3,5,"Gwangju World Cup Stadium, Gwangju",South Korea,1659.76,1455.13,1586.64,1528.25,204.63
2002--south-korea-n-japan,Quarter-finals,2002-06-22,Senegal,Turkey,0,1,"Nagai Stadium, Osaka",Turkey,1574.54,1537.06,1537.14,1574.46,37.48
2002--south-korea-n-japan,Semi-finals,2002-06-25,Germany,South Korea,1,0,"Seoul World Cup Stadium, Seoul",Germany,1609.47,1528.25,1628.65,1509.07,81.22
2002--south-korea-n-japan,Semi-finals,2002-06-26,Brazil,Turkey,1,0,"Saitama Stadium, Saitama",Brazil,1836.38,1574.46,1844.92,1565.92,261.92
2002--south-korea-n-japan,Third place play-off,2002-06-29,South Korea,Turkey,2,3,"Daegu World Cup Stadium, Daegu",Turkey,1509.07,1565.92,1489.46,1585.53,-56.85
2002--south-korea-n-japan,Final,2002-06-30,Germany,Brazil,0,2,"International Stadium Yokohama, Yokohama",Brazil,1628.65,1844.92,1603.68,1869.89,-216.27
2006--germany,Group A,,Fri Jun/9     Germany,Costa Rica,4,2,"Allianz Arena, München",Fri Jun/9     Germany,1500.0,1471.51,1523.34,1448.17,28.49
2006--germany,Group A,,Fri Jun/9     Poland,Ecuador,0,2,"Veltins-Arena, Gelsenkirchen",Ecuador,1500.0,1519.73,1467.39,1552.34,-19.73
2006--germany,Group A,,Wed Jun/14   Germany,Poland,1,0,"Signal Iduna Park, Dortmund",Wed Jun/14   Germany,1500.0,1488.73,1516.51,1472.22,11.27
2006--germany,Group A,,Thu Jun/15   Ecuador,Costa Rica,3,0,"AOL Arena, Hamburg",Thu Jun/15   Ecuador,1500.0,1448.17,1525.03,1423.14,51.83
2006--germany,Group A,,Tue Jun/20   Ecuador,Germany,0,3,"Olympiastadion, Berlin",Germany,1500.0,1606.35,1470.63,1635.72,-106.35
2006--germany,Group A,,Tue Jun/20   Costa Rica,Poland,1,2,"AWD-Arena, Hannover",Poland,1500.0,1472.22,1475.6,1496.62,27.78
2006--germany,Group B,,Sat Jun/10    England,Paraguay,1,0,"Commerzbank-Arena, Frankfurt",Sat Jun/10    England,1500.0,1484.43,1516.27,1468.16,15.57
2006--germany,Group B,,Sat Jun/10    Trinidad and Tobago,Sweden,0,0,"Signal Iduna Park, Dortmund",Draw,1500.0,1598.58,1502.78,1595.8,-98.58
2006--germany,Group B,,Thu Jun/15   England,Trinidad and Tobago,2,0,"Frankenstadion, Nürnberg",Thu Jun/15   England,1500.0,1500.0,1525.71,1474.29,0.0
2006--germany,Group B,,Thu Jun/15   Sweden,Paraguay,1,0,"Olympiastadion, Berlin",Thu Jun/15   Sweden,1500.0,1468.16,1515.37,1452.79,31.84
2006--germany,Group B,,Tue Jun/20   Sweden,England,2,2,"RheinEnergieStadion, Köln",Draw,1500.0,1693.8,1507.84,1685.96,-193.8
2006--germany,Group B,,Tue Jun/20   Paraguay,Trinidad and Tobago,2,0,"Fritz-Walter-Stadion, Kaiserslautern",Tue Jun/20   Paraguay,1500.0,1474.29,1523.56,1450.73,25.71
