tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff
1986--mexico,Round of 16,1986-06-17,Morocco,West Germany,0,1,"Estadio Universitario, Monterrey",West Germany,1515.86,1646.24,1492.68,1669.42,-130.38
1986--mexico,Round of 16,1986-06-18,England,Paraguay,3,0,"Estadio Azteca, Mexico City",England,1660.88,1476.34,1682.49,1454.73,184.54
1986--mexico,Round of 16,1986-06-18,Denmark,Spain,1,5,"Estadio La Corregidora, Querétaro",Spain,1588.62,1549.03,1518.18,1619.47,39.59
1986--mexico,Quarter-finals,1986-06-21,Brazil  3-4pen 1-1aet (,France,1,1,"Estadio Jalisco, Guadalajara",Draw,1500.0,1669.67,1509.94,1659.73,-169.67
1986--mexico,Quarter-finals,1986-06-21,West Germany  4-1pen,Mexico,0,0,"Estadio Universitario, Monterrey",Draw,1500.0,1463.07,1492.65,1470.42,36.93
1986--mexico,Quarter-finals,1986-06-22,Spain    4-5pen,Belgium,1,1,"Estadio Cuauhtémoc, Puebla",Draw,1500.0,1478.5,1493.91,1484.59,21.5
1986--mexico,Quarter-finals,1986-06-22,Argentina,England,2,1,"Estadio Azteca, Mexico City",Argentina,1651.93,1682.49,1680.25,1654.17,-30.56
1986--mexico,Semi-finals,1986-06-25,Argentina,Belgium,2,0,"Estadio Azteca, Mexico City",Argentina,1680.25,1484.59,1697.85,1466.99,195.66
1986--mexico,Semi-finals,1986-06-25,France,West Germany,0,2,"Estadio Jalisco, Guadalajara",West Germany,1659.73,1669.42,1609.53,1719.62,-9.69
1986--mexico,Third place match,1986-06-28,France   4-2aet (,Belgium,2,2,"Estadio Cuauhtémoc, Puebla",Draw,1500.0,1466.99,1492.97,1474.02,33.01
1986--mexico,Final,1986-06-29,Argentina,West Germany,3,2,"Estadio Azteca, Mexico City",Argentina,1697.85,1719.62,1725.42,1692.05,-21.77
1990--italy,Group A,1990-06-09,Italy,Austria,1,0,"Stadio Olimpico, Rome",Italy,1666.19,1541.99,1676.93,1531.25,124.2
1990--italy,Group A,1990-06-10,United States,Czechoslovakia,1,5,"Stadio Comunale, Florence",Czechoslovakia,1439.63,1494.03,1402.6,1531.06,-54.4
1990--italy,Group A,1990-06-14,Italy,United States,1,0,"Stadio Olimpico, Rome",Italy,1676.93,1402.6,1682.29,1397.24,274.33
1990--italy,Group A,1990-06-15,Austria,Czechoslovakia,0,1,"Stadio Comunale, Florence",Czechoslovakia,1531.25,1531.06,1508.38,1553.93,0.19
1990--italy,Group A,1990-06-19,Italy,Czechoslovakia,2,0,"Stadio Olimpico, Rome",Italy,1682.29,1553.93,1698.11,1538.11,128.36
1990--italy,Group A,1990-06-19,Austria,United States,2,1,"Stadio Comunale, Florence",Austria,1508.38,1397.24,1519.72,1385.9,111.14
